path,bytes,estimated_tokens,class,risk
/home/claude/kit/README.md,7594,1898,general,medium
/home/claude/kit/cookbook/cookbook.md,6354,1588,general,medium
/home/claude/kit/cookbook/glossary.md,4890,1219,general,low
/home/claude/kit/cookbook/troubleshooting.md,4552,1138,general,low
/home/claude/kit/consultant/red_flags.md,4256,1064,general,low
/home/claude/kit/consultant/objection_handling.md,4168,1042,general,low
/home/claude/kit/consultant/discovery_call_script.md,3627,906,general,low
/home/claude/kit/consultant/email_templates.md,3515,875,general,low
/home/claude/kit/consultant/outreach_scripts.md,3309,827,general,low
/home/claude/kit/context_scan.csv,2834,708,general,low
/home/claude/kit/consultant/discovery_questionnaire.md,2688,669,general,low
/home/claude/kit/consultant/sow_template.md,2575,643,general,low
/home/claude/kit/consultant/portfolio_case_study_template.md,2537,634,general,low
/home/claude/kit/consultant/data_handling_note.md,2458,612,general,low
/home/claude/kit/QUICKSTART.md,2238,559,general,low
/home/claude/kit/beginner_first_30_minutes.md,1590,397,general,low
/home/claude/kit/model_tier_map.csv,1564,391,general,low
/home/claude/kit/case_study_anonymized.md,1223,305,general,low
/home/claude/kit/client_report.md,1204,301,general,low
/home/claude/kit/redacted_input.jsonl,925,231,log,low
/home/claude/kit/example_logs.jsonl,849,212,log,low
/home/claude/kit/lane_template_cron_heavy.json,831,207,general,low
/home/claude/kit/lane_template_browser_heavy.json,815,203,general,low
/home/claude/kit/cron_recommendations.csv,776,194,general,low
/home/claude/kit/service_offer_template.md,698,174,general,low
/home/claude/kit/example_quality_after.csv,668,167,general,low
/home/claude/kit/client_delivery_example.md,638,159,general,low
/home/claude/kit/example_quality_before.csv,634,158,general,low
/home/claude/kit/pricing_and_scope_examples.md,505,126,general,low
/home/claude/kit/example_openclaw_after.json,425,106,general,low
/home/claude/kit/example_openclaw_before.json,405,101,general,low
/home/claude/kit/pre_change_checklist.md,393,98,general,low
/home/claude/kit/lane_template_hybrid.json,383,95,general,low
/home/claude/kit/lane_template_multiagent.json,383,95,bootstrap,low
/home/claude/kit/lane_template_budget.json,379,94,general,low
/home/claude/kit/post_change_checklist.md,373,93,general,low
/home/claude/kit/heartbeat_audit.md,361,90,general,low
/home/claude/kit/spend_ledger.csv,362,90,general,low
/home/claude/kit/anomaly_report.md,319,79,general,low
/home/claude/kit/env_mac_mini.md,311,77,general,low
/home/claude/kit/env_wsl2.md,288,72,general,low
/home/claude/kit/example_task_map.csv,283,70,general,low
/home/claude/kit/sample_report.md,282,70,general,low
/home/claude/kit/env_docker.md,271,67,general,low
/home/claude/kit/env_vps.md,210,52,general,low
/home/claude/kit/example_openclaw.json,167,41,general,low
/home/claude/kit/example_prices.csv,146,36,general,low
/home/claude/kit/requirements.txt,87,21,general,low
/home/claude/kit/example_spend_baseline.csv,72,18,general,low
/home/claude/kit/example_spend_delta.csv,71,17,general,low
/home/claude/kit/verification_result.txt,41,10,general,low
