workflow,task_id,outcome
inbox_watch,t-1001,success
inbox_watch,t-1002,success
inbox_watch,t-1003,success
inbox_watch,t-1004,success
inbox_watch,t-1005,success
daily_report,2026-04-15,success
daily_report,2026-04-16,success
daily_report,2026-04-17,success
daily_report,2026-04-18,partial
daily_report,2026-04-19,success
followup_reminder,r-201,success
followup_reminder,r-202,success
followup_reminder,r-203,success
vendor_price_scrape,s-301,success
vendor_price_scrape,s-302,success
vendor_price_scrape,s-303,failure
calendar_check,c-401,success
calendar_check,c-402,success
calendar_check,c-403,success
calendar_check,c-404,success
